accountNo,name,interestRate,accountStatus,country,currency,action
11001030489114,ed0326a1-d37e-4fd0-9563-3b08d2b45791,12,ACTIVE,US,USD,ADD
25101754995292,29e9798b-74a4-451f-8cdd-75038542b6b8,8,CLOSE,SG,USD,REMOVE
7467773979236,d99ddcf9-4a91-49e8-b2d5-4a0998dd04d5,8,ACTIVE,US,USD,ADD
12885928926819,6bd5b96f-484f-441c-a4de-dac29a3d7f8e,6,DORMANT,SG,USD,ADD
3320375050974,f8dc60e6-c33d-4480-b088-04aad0c3c774,12,ACTIVE,MY,MYR,ADD
6798023769833,00ba7e0b-d999-4e74-97b2-4b139bc1d842,11,ACTIVE,MY,SGD,ADD
2376197614887,7c83d843-8c3b-410b-b72c-9395709ffc46,3,DORMANT,SG,SGD,ADD
61351169151629,a180a174-44af-49b3-9806-9fdeaeb37589,4,ACTIVE,SG,MYR,REMOVE
39579283541453,cd6c8a16-8219-4bf7-82d9-f75b704cd01a,11,ACTIVE,SG,SGD,REMOVE
69174823557534,12cc68e5-e0f8-4bac-9aea-6c38d1db7642,8,CLOSE,MY,MYR,REMOVE
75386337050236,2975fa73-6eb0-45bb-8ee0-d4871eac7f61,4,CLOSE,SG,SGD,REMOVE
83783061750152,55a41c83-d66c-4b57-8172-5b96c665bdab,0,ACTIVE,MY,MYR,ADD
92484815736451,bf94fdc6-cc81-4b6a-ba7b-5d1605b2fece,4,ACTIVE,SG,MYR,ADD
41542301055241,e5dea6a2-c1fb-47e6-a1eb-28c25872ff24,9,ACTIVE,US,SGD,REMOVE
87792230198550,2798cd58-94f1-4ace-a585-94ede1f204bd,7,CLOSE,MY,SGD,ADD
43299602558745,49137f9c-9741-4161-b642-d0bbff2d441c,3,ACTIVE,US,USD,REMOVE
95115815342868,895f5266-85e8-4a8f-8c5e-2791c4a2cd30,5,DORMANT,US,MYR,REMOVE
23788977660790,c3318188-27e7-4f35-bac8-235877a49dd7,4,ACTIVE,US,SGD,ADD
25860360531194,76dad3b0-602d-44ac-be66-11e681fd90e0,4,CLOSE,SG,MYR,REMOVE
46466418867967,ba1f7eec-3c50-42fc-8ac3-3a6265d1a6b1,5,CLOSE,US,SGD,ADD
19336987918290,ad5bd4a0-8f5e-4a63-9cc9-a89a01c28eb4,1,CLOSE,US,MYR,REMOVE
94403550424290,7009db6e-344e-4e8f-b534-182beb299bcc,14,ACTIVE,US,SGD,REMOVE
83125725108053,e2f3c6d9-dfd1-424e-8c60-c7a918406262,11,CLOSE,MY,MYR,ADD
28360411364707,4372a4de-c16b-4d9d-adbc-90ace74f5999,10,CLOSE,SG,MYR,REMOVE
52084493305400,a34bfcbb-7daa-4358-be29-85d29fbf1244,5,DORMANT,SG,USD,ADD
67183152397981,e5ee9ae1-65e7-4ec9-8018-fddd9cc4d248,13,DORMANT,US,MYR,ADD
79784585312778,bbc1bb2d-7cce-4a53-b13f-24647425c588,7,CLOSE,SG,MYR,ADD
24066536801331,bd46487a-7680-4fe4-a0ed-b84bcd51aff5,1,DORMANT,US,USD,REMOVE
6136434880044,a1fe5e6a-8e59-4296-82c3-ac58fde1310f,5,DORMANT,MY,MYR,REMOVE
79048673615932,ba336137-445b-4b0c-a61a-87f3734a53c9,12,DORMANT,MY,USD,REMOVE
27278653747097,7a1dffa2-5bfc-451c-836a-fca896cd5683,4,CLOSE,US,SGD,ADD
39925672613671,0aef6020-31c3-41b2-a2fe-e083cf57d467,9,CLOSE,SG,MYR,REMOVE
96925768320498,d147d90f-ca50-4556-bf18-28257b9e67a7,4,ACTIVE,MY,MYR,REMOVE
91577691225774,bfd585d0-f2b9-459b-aaf8-6d897f17f88c,13,ACTIVE,SG,SGD,ADD
16393191698392,788572ff-37eb-4e0f-8e92-396cbdae9fee,2,CLOSE,US,SGD,ADD
38211951768574,4bca4ffd-8061-48a3-a86b-7c6e06909a3c,15,DORMANT,MY,SGD,REMOVE
42524221051606,f08d75e3-e8d9-4bf7-b53f-4ccd5ebbdef1,14,CLOSE,MY,SGD,ADD
28621557404026,0bfb06ac-8b52-46f7-9ba8-f99a09aa6ce1,8,CLOSE,US,USD,REMOVE
56713614753890,b1b69dfe-a2e0-4d0c-b630-2c1bb5e33bbf,3,ACTIVE,MY,USD,REMOVE
32865616858877,3804f239-12b4-44d4-ba1d-6010da1dfb4f,10,CLOSE,SG,USD,REMOVE
7449006819327,8b06e840-87be-4857-8e50-b31b34b03af0,9,CLOSE,SG,USD,ADD
57177789650720,c78f926e-3a56-4c83-8b72-1077ca4f1d0a,12,DORMANT,US,USD,ADD
58351984731637,ac6167cd-b10b-4ac4-99c0-4c91ef6506e0,9,ACTIVE,US,USD,REMOVE
48527932129189,bcebe797-83c3-4437-b248-701eff41b3ab,12,DORMANT,US,SGD,REMOVE
37599312059343,aeb9d11b-850c-4d11-b990-b6e6ccdfce1d,13,DORMANT,SG,MYR,ADD
92075267765616,0438d9f3-fd5a-4b8a-8444-24e5fa6058f4,0,ACTIVE,MY,MYR,ADD
72615114471452,7fc8605b-55e6-4a84-b734-f01a9fa831c1,1,DORMANT,MY,SGD,ADD
14076103935802,560e4f36-10ec-491c-aaf7-a66b819828bd,6,DORMANT,SG,USD,REMOVE
16770591950266,ffb71011-8a8f-4c88-bf73-9ada9ca6fb0d,15,ACTIVE,MY,MYR,REMOVE
64557263713948,6a2a1bfe-bb9a-40fd-beba-f170c7b45370,1,DORMANT,SG,USD,REMOVE
5193454296603,7aaa04cb-4fbe-4f28-a4dc-7155b25c7366,9,ACTIVE,US,USD,ADD
79383713984871,8ea58d65-4d74-45f2-a4df-5de1ef9435d3,12,ACTIVE,SG,SGD,ADD
5946238813690,f94bcc6a-fe90-4ef4-b964-ef59a2ec2634,14,CLOSE,US,SGD,ADD
53175379730041,05e1ddd4-c76a-41c9-97d1-d13632b32bb1,14,ACTIVE,SG,SGD,ADD
