paymentId,chargeBearer,requestedExecutionOn,debtorAccountNo,creditorAccountNo,endToEndId,currency,amount
3eacac23-a826-4bc7-bc71-0a6010bd90b6,OUR,2021-02-19,54157127837252,76685210434511,24fc7a0d-b06c-4a0b-bdbb-593a59aa7988,SGD,910688
97bfb433-c596-4d0b-9997-c66cee15c060,OUR,2020-12-30,68366485711335,33287498924652,bf9df529-e4cf-4e85-a672-e719e5b307b7,SGD,610843
37c151c6-5ac6-43c9-a46f-071277c1c288,BEN,2020-11-01,85458057104203,98522985266261,0323c862-9356-400d-a08b-b3977c446272,USD,844494
72148d3e-49a5-44d6-890d-f120b70088ba,OUR,2021-01-18,40608286672395,99389590978938,4a63b051-fdbf-4639-9a7b-45e180592a24,MYR,235228
d583bde4-d6d9-489d-bd20-02fdd1484b26,SHA,2021-02-25,42559450849934,35289200711326,e5d52cb9-8dbf-4422-bcea-dfe724e22b81,SGD,745514
a56fb2ea-0372-407b-84f6-fffad5945379,OUR,2020-11-03,18768219595302,56108939335507,10759efb-5bf4-40f5-bd22-7170ddb7bb3a,SGD,507369
15d494a1-34c5-499e-8eda-a3808c6929a0,SHA,2021-02-10,29303851319468,39763759178017,b4af151e-72fd-4b4a-ad7f-00f72b7681d4,SGD,155685
4ac858af-d13f-4518-9079-8ae7b6142202,OUR,2021-02-20,96861431110900,70935740065491,df724097-bf56-4078-8953-54d4551cd333,MYR,458189
283218f0-bf94-406f-a729-083c0463c92c,OUR,2021-02-04,13892167901014,9539409195268,b9619fe3-4eef-499e-98f8-3ccaa26e2eb1,USD,547554
5860a5c7-3c7a-40cb-804a-5ab812235366,BEN,2021-02-04,61302508941336,50508049265243,1f673ae8-0dff-4629-9a2c-adeb4fd2beb7,SGD,825509
dd1d0397-026c-4978-88b0-b3e4f36bf1d8,OUR,2020-11-22,83357570420117,39274382572562,8f5a9360-2282-4b16-8720-1b268e1a8a8f,SGD,276420
8ee79080-6c36-4885-88f4-9b3c570648dc,SHA,2020-12-09,43245663523317,22759458002073,56aa2c4f-de0c-4e08-b4ff-30aaf39741cd,MYR,496361
f6424139-982b-440f-9548-f33a2f3b6b85,OUR,2020-12-01,77257189793161,30255347710604,b4099f5f-9403-4f0a-9cc8-3bb1142ce1b8,USD,435290
